pcode,name,province_pcode,region_pcode,population
PH0203125,Reina Mercedes,PH02031,PH02,33801
PH0203126,Roxas,PH02031,PH02,67677
PH0203127,San Agustin,PH02031,PH02,24150
PH0203128,San Guillermo,PH02031,PH02,23150
PH0203129,San Isidro,PH02031,PH02,28294
PH0203130,San Manuel,PH02031,PH02,33623
PH0203131,San Mariano,PH02031,PH02,61288
PH0203132,San Mateo,PH02031,PH02,69487
PH0203133,San Pablo,PH02031,PH02,31923
PH0203134,Santa Maria,PH02031,PH02,29595
PH0203135,City of Santiago,PH02031,PH02,140287
PH0203136,Santo Tomas,PH02031,PH02,24766
PH0203137,Tumauini,PH02031,PH02,85833
PH0205001,Ambaguio,PH02050,PH02,18663
PH0205002,Aritao,PH02050,PH02,38988
PH0205003,Bagabag,PH02050,PH02,36900
PH0205004,Bambang,PH02050,PH02,64041
PH0205005,Bayombong (Capital),PH02050,PH02,67655
PH0205006,Diadi,PH02050,PH02,20928
PH0205007,Dupax del Norte,PH02050,PH02,30228
PH0205008,Dupax del Sur,PH02050,PH02,20352
PH0205009,Kasibu,PH02050,PH02,45832
PH0205010,Kayapa,PH02050,PH02,27670
PH0205011,Quezon,PH02050,PH02,23769
PH0205012,Santa Fe,PH02050,PH02,19402
PH0205013,Solano,PH02050,PH02,64189
PH0205014,Villaverde,PH02050,PH02,19400
PH0205015,Alfonso Castaneda,PH02050,PH02,8696
PH0205701,Aglipay,PH02057,PH02,29663
PH0205702,Cabarroguis (Capital),PH02057,PH02,31453
PH0205703,Diffun,PH02057,PH02,58414
PH0205704,Maddela,PH02057,PH02,42521
PH0205705,Saguday,PH02057,PH02,18393
PH0205706,Nagtipunan,PH02057,PH02,24355
PH0300801,Abucay,PH03008,PH03,42888
PH0300802,Bagac,PH03008,PH03,28811
PH0300803,City of Balanga (Capital),PH03008,PH03,108442
PH0300804,Dinalupihan,PH03008,PH03,120411
PH0300805,Hermosa,PH03008,PH03,85555
PH0300806,Limay,PH03008,PH03,93457
PH0300807,Mariveles,PH03008,PH03,154188
PH0300808,Morong,PH03008,PH03,38020
PH0300809,Orani,PH03008,PH03,78530
PH0300810,Orion,PH03008,PH03,64971
PH0300811,Pilar,PH03008,PH03,44149
PH0300812,Samal,PH03008,PH03,37261
PH0301401,Angat,PH03014,PH03,63504
PH0301402,Balagtas (Bigaa),PH03014,PH03,91817
PH0301403,City of Baliwag,PH03014,PH03,155619
PH0301404,Bocaue,PH03014,PH03,146995
PH0301405,Bulacan,PH03014,PH03,83500
PH0301406,Bustos,PH03014,PH03,72149
PH0301407,Calumpit,PH03014,PH03,116664
PH0301408,Guiguinto,PH03014,PH03,109270
PH0301409,Hagonoy,PH03014,PH03,133604
PH0301410,City of Malolos (Capital),PH03014,PH03,269706
PH0301411,Marilao,PH03014,PH03,254760
PH0301412,City of Meycauayan,PH03014,PH03,218533
PH0301413,Norzagaray,PH03014,PH03,117862
PH0301414,Obando,PH03014,PH03,60440
PH0301415,Pandi,PH03014,PH03,138610
PH0301416,Paombong,PH03014,PH03,55674
PH0301417,Plaridel,PH03014,PH03,113115
PH0301418,Pulilan,PH03014,PH03,123540
PH0301419,San Ildefonso,PH03014,PH03,125208
PH0301420,City of San Jose del Monte,PH03014,PH03,862424
PH0301421,San Miguel,PH03014,PH03,170661
PH0301422,San Rafael,PH03014,PH03,106670
PH0301423,Santa Maria,PH03014,PH03,307572
PH0301424,Doña Remedios Trinidad,PH03014,PH03,25928
PH0304901,Aliaga,PH03049,PH03,76086
PH0304902,Bongabon,PH03049,PH03,74498
PH0304903,Cabanatuan City,PH03049,PH03,367583
PH0304904,Cabiao,PH03049,PH03,94087
PH0304905,Carranglan,PH03049,PH03,49986
PH0304906,Cuyapo,PH03049,PH03,77309
PH0304907,Gabaldon (Bitulok & Sabani),PH03049,PH03,42223
PH0304908,City of Gapan,PH03049,PH03,129275
PH0304909,General Mamerto Natividad,PH03049,PH03,52934
PH0304910,General Tinio (Papaya),PH03049,PH03,59642
PH0304911,Guimba,PH03049,PH03,149969
PH0304912,Jaen,PH03049,PH03,86446
PH0304913,Laur,PH03049,PH03,43275
PH0304914,Licab,PH03049,PH03,32659
PH0304915,Llanera,PH03049,PH03,47330
PH0304916,Lupao,PH03049,PH03,49809
PH0304917,Science City of Muñoz,PH03049,PH03,94329
PH0304918,Nampicuan,PH03049,PH03,18678
PH0304919,Palayan City (Capital),PH03049,PH03,49432
PH0304920,Pantabangan,PH03049,PH03,35511
PH0304921,Peñaranda,PH03049,PH03,35225
PH0304922,Quezon,PH03049,PH03,49274
PH0304923,Rizal,PH03049,PH03,79692
PH0304924,San Antonio,PH03049,PH03,87816
PH0304925,San Isidro,PH03049,PH03,59744
PH0304926,San Jose City,PH03049,PH03,161740
PH0304927,San Leonardo,PH03049,PH03,81479
PH0304928,Santa Rosa,PH03049,PH03,80021
PH0304929,Santo Domingo,PH03049,PH03,73887
PH0304930,Talavera,PH03049,PH03,152094
PH0304931,Talugtug,PH03049,PH03,29475
PH0304932,Zaragoza,PH03049,PH03,61185
PH0305401,Angeles City,PH03054,PH03,607553
PH0305402,Apalit,PH03054,PH03,117133
PH0305403,Arayat,PH03054,PH03,153970
PH0305404,Bacolor,PH03054,PH03,57494
PH0305405,Candaba,PH03054,PH03,126529
PH0305406,Floridablanca,PH03054,PH03,151312
PH0305407,Guagua,PH03054,PH03,125837
PH0305408,Lubao,PH03054,PH03,175369
PH0305409,Mabalacat City,PH03054,PH03,319865
PH0305410,Macabebe,PH03054,PH03,83460
PH0305411,Magalang,PH03054,PH03,128823
PH0305412,Masantol,PH03054,PH03,64611
PH0305413,Mexico,PH03054,PH03,164818
PH0305414,Minalin,PH03054,PH03,53625
PH0305415,Porac,PH03054,PH03,147251
PH0305416,City of San Fernando (Capital),PH03054,PH03,337932
PH0305417,San Luis,PH03054,PH03,62117
PH0305418,San Simon,PH03054,PH03,61371
PH0305419,Santa Ana,PH03054,PH03,59639
PH0305420,Santa Rita,PH03054,PH03,44000
PH0305421,Sto. Tomas,PH03054,PH03,43918
PH0305422,Sasmuan (Sexmoan),PH03054,PH03,29160
PH0306901,Anao,PH03069,PH03,12705
PH0306902,Bamban,PH03069,PH03,82133
PH0306903,Camiling,PH03069,PH03,88914
PH0306904,Capas,PH03069,PH03,165988
PH0306905,Concepcion,PH03069,PH03,179856
PH0306906,Gerona,PH03069,PH03,95585
PH0306907,La Paz,PH03069,PH03,69548
PH0306908,Mayantoc,PH03069,PH03,36234
PH0306909,Moncada,PH03069,PH03,60955
PH0306910,Paniqui,PH03069,PH03,101413
PH0306911,Pura,PH03069,PH03,25177
PH0306912,Ramos,PH03069,PH03,23342
PH0306913,San Clemente,PH03069,PH03,13037
PH0306914,San Manuel,PH03069,PH03,27717
PH0306915,Santa Ignacia,PH03069,PH03,54218
PH0306916,City of Tarlac (Capital),PH03069,PH03,385548
PH0306917,Victoria,PH03069,PH03,70403
PH0306918,San Jose,PH03069,PH03,40352
PH0307101,Botolan,PH03071,PH03,62637
PH0307102,Cabangan,PH03071,PH03,28624
PH0307103,Candelaria,PH03071,PH03,30718
PH0307104,Castillejos,PH03071,PH03,102752
PH0307105,Iba (Capital),PH03071,PH03,56565
PH0307106,Masinloc,PH03071,PH03,53117
PH0307107,Olongapo City,PH03071,PH03,250352
PH0307108,Palauig,PH03071,PH03,37320
PH0307109,San Antonio,PH03071,PH03,37239
PH0307110,San Felipe,PH03071,PH03,24873
PH0307111,San Marcelino,PH03071,PH03,36304
PH0307112,San Narciso,PH03071,PH03,30373
PH0307113,Santa Cruz,PH03071,PH03,65070
PH0307114,Subic,PH03071,PH03,133774
PH0307701,Baler (Capital),PH03077,PH03,46421
PH0307702,Casiguran,PH03077,PH03,24942
PH0307703,Dilasag,PH03077,PH03,16126
PH0307704,Dinalungan,PH03077,PH03,11776
PH0307705,Dingalan,PH03077,PH03,29047
PH0307706,Dipaculao,PH03077,PH03,33254
PH0307707,Maria Aurora,PH03077,PH03,45513
PH0307708,San Luis,PH03077,PH03,30758
PH0401001,Agoncillo,PH04010,PH04,42224
PH0401002,Alitagtag,PH04010,PH04,28395
PH0401003,Balayan,PH04010,PH04,108900
PH0401004,Balete,PH04010,PH04,27783
PH0401005,Batangas City (Capital),PH04010,PH04,376528
PH0401006,Bauan,PH04010,PH04,112160
PH0401007,City of Calaca,PH04010,PH04,107182
PH0401008,Calatagan,PH04010,PH04,65135
PH0401009,Cuenca,PH04010,PH04,35487
PH0401010,Ibaan,PH04010,PH04,61862
PH0401011,Laurel,PH04010,PH04,47114
PH0401012,Lemery,PH04010,PH04,117590
PH0401013,Lian,PH04010,PH04,67325
PH0401014,Lipa City,PH04010,PH04,443596
PH0401015,Lobo,PH04010,PH04,50761
PH0401016,Mabini,PH04010,PH04,49258
PH0401017,Malvar,PH04010,PH04,81506
PH0401018,Mataasnakahoy,PH04010,PH04,32998
PH0401019,Nasugbu,PH04010,PH04,157271
PH0401020,Padre Garcia,PH04010,PH04,54836
PH0401021,Rosario,PH04010,PH04,139577
PH0401022,San Jose,PH04010,PH04,94739
PH0401023,San Juan,PH04010,PH04,140059
PH0401024,San Luis,PH04010,PH04,37859
PH0401025,San Nicolas,PH04010,PH04,26681
PH0401026,San Pascual,PH04010,PH04,77092
PH0401027,Santa Teresita,PH04010,PH04,30067
PH0401028,City of Sto. Tomas,PH04010,PH04,354593
PH0401029,Taal,PH04010,PH04,65907
PH0401030,Talisay,PH04010,PH04,57703
PH0401031,City of Tanauan,PH04010,PH04,218522
PH0401032,Taysan,PH04010,PH04,43045
PH0401033,Tingloy,PH04010,PH04,19841
PH0401034,Tuy,PH04010,PH04,49447
PH0402101,Alfonso,PH04021,PH04,54385
PH0402102,Amadeo,PH04021,PH04,42772
PH0402103,Bacoor City,PH04021,PH04,677401
PH0402104,Carmona,PH04021,PH04,159420
PH0402105,Cavite City,PH04021,PH04,105453
PH0402106,City of Dasmariñas,PH04021,PH04,731079
PH0402107,General Emilio Aguinaldo,PH04021,PH04,34632
PH0402108,City of General Trias,PH04021,PH04,382242
PH0402109,Imus City,PH04021,PH04,696201
PH0402110,Indang,PH04021,PH04,68332
PH0402111,Kawit,PH04021,PH04,88002
PH0402112,Magallanes,PH04021,PH04,24289
PH0402113,Maragondon,PH04021,PH04,42526
PH0402114,Mendez (Mendez-Nuñez),PH04021,PH04,35021
PH0402115,Naic,PH04021,PH04,172565
PH0402116,Noveleta,PH04021,PH04,49662
PH0402117,Rosario,PH04021,PH04,155221
PH0402118,Silang,PH04021,PH04,295835
PH0402119,Tagaytay City,PH04021,PH04,82346
PH0402120,Tanza,PH04021,PH04,271173
PH0402121,Ternate,PH04021,PH04,32468
PH0402122,Trece Martires City (Capital),PH04021,PH04,247501
PH0402123,Gen. Mariano Alvarez,PH04021,PH04,190962
PH0403401,Alaminos,PH04034,PH04,53831
PH0403402,Bay,PH04034,PH04,71214
PH0403403,City of Biñan,PH04034,PH04,407862
PH0403404,Cabuyao City,PH04034,PH04,406308
PH0403405,City of Calamba,PH04034,PH04,551805
PH0403406,Calauan,PH04034,PH04,87846
PH0403407,Cavinti,PH04034,PH04,22818
PH0403408,Famy,PH04034,PH04,18759
PH0403409,Kalayaan,PH04034,PH04,26522
PH0403410,Liliw,PH04034,PH04,40247
PH0403411,Los Baños,PH04034,PH04,125958
PH0403412,Luisiana,PH04034,PH04,20192
PH0403413,Lumban,PH04034,PH04,32118
PH0403414,Mabitac,PH04034,PH04,23176
PH0403415,Magdalena,PH04034,PH04,28423
PH0403416,Majayjay,PH04034,PH04,29363
PH0403417,Nagcarlan,PH04034,PH04,67342
PH0403418,Paete,PH04034,PH04,27161
PH0403419,Pagsanjan,PH04034,PH04,45942
PH0403420,Pakil,PH04034,PH04,21452
PH0403421,Pangil,PH04034,PH04,25626
PH0403422,Pila,PH04034,PH04,55329
PH0403423,Rizal,PH04034,PH04,19683
PH0403424,San Pablo City,PH04034,PH04,288703
PH0403425,City of San Pedro,PH04034,PH04,369652
PH0403426,Santa Cruz (Capital),PH04034,PH04,126246
PH0403427,Santa Maria,PH04034,PH04,36672
PH0403428,City of Santa Rosa,PH04034,PH04,465544
PH0403429,Siniloan,PH04034,PH04,41673
PH0403430,Victoria,PH04034,PH04,46128
PH0405601,Agdangan,PH04056,PH04,15313
PH0405602,Alabat,PH04056,PH04,15976
PH0405603,Atimonan,PH04056,PH04,66158
PH0405605,Buenavista,PH04056,PH04,31566
PH0405606,Burdeos,PH04056,PH04,31702
PH0405607,Calauag,PH04056,PH04,79782
PH0405608,Candelaria,PH04056,PH04,129276
PH0405610,Catanauan,PH04056,PH04,80526
PH0405615,Dolores,PH04056,PH04,30803
PH0405616,General Luna,PH04056,PH04,28307
PH0405617,General Nakar,PH04056,PH04,37250
PH0405618,Guinayangan,PH04056,PH04,51499
PH0405619,Gumaca,PH04056,PH04,81206
PH0405620,Infanta,PH04056,PH04,76506
PH0405621,Jomalig,PH04056,PH04,8374
PH0405622,Lopez,PH04056,PH04,101810
PH0405623,Lucban,PH04056,PH04,60494
PH0405624,Lucena City (Capital),PH04056,PH04,302140
PH0405625,Macalelon,PH04056,PH04,31282
PH0405627,Mauban,PH04056,PH04,68143
PH0405628,Mulanay,PH04056,PH04,56855
PH0405629,Padre Burgos,PH04056,PH04,26892
PH0405630,Pagbilao,PH04056,PH04,93080
PH0405631,Panukulan,PH04056,PH04,15426
PH0405632,Patnanungan,PH04056,PH04,15850
PH0405633,Perez,PH04056,PH04,12587
PH0405634,Pitogo,PH04056,PH04,25955
PH0405635,Plaridel,PH04056,PH04,12158
PH0405636,Polillo,PH04056,PH04,35088
PH0405637,Quezon,PH04056,PH04,15641
PH0405638,Real,PH04056,PH04,37046
PH0405639,Sampaloc,PH04056,PH04,15283
PH0405640,San Andres,PH04056,PH04,39600
PH0405641,San Antonio,PH04056,PH04,36495
PH0405642,San Francisco (Aurora),PH04056,PH04,67469
PH0405644,San Narciso,PH04056,PH04,53850
PH0405645,Sariaya,PH04056,PH04,166876
PH0405646,Tagkawayan,PH04056,PH04,53248
PH0405647,City of Tayabas,PH04056,PH04,115219
PH0405648,Tiaong,PH04056,PH04,114628
PH0405649,Unisan,PH04056,PH04,29857
PH0405801,Angono,PH04058,PH04,122805
PH0405802,City of Antipolo,PH04058,PH04,883851
PH0405803,Baras,PH04058,PH04,188090
PH0405804,Binangonan,PH04058,PH04,320067
PH0405805,Cainta,PH04058,PH04,328649
PH0405806,Cardona,PH04058,PH04,50135
PH0405807,Jala-jala,PH04058,PH04,33585
PH0405808,Rodriguez (Montalban),PH04058,PH04,476379
PH0405809,Morong,PH04058,PH04,66188
PH0405810,Pililla,PH04058,PH04,68590
PH0405811,San Mateo,PH04058,PH04,345614
PH0405812,Tanay,PH04058,PH04,157504
PH0405813,Taytay,PH04058,PH04,344353
PH0405814,Teresa,PH04058,PH04,78415
PH0500501,Bacacay,PH05005,PH05,74035
PH0500502,Camalig,PH05005,PH05,72375
PH0500503,Daraga (Locsin),PH05005,PH05,147195
PH0500504,Guinobatan,PH05005,PH05,94277
PH0500505,Jovellar,PH05005,PH05,18011
PH0500506,Legazpi City (Capital),PH05005,PH05,223161
PH0500507,Libon,PH05005,PH05,81138
PH0500508,City of Ligao,PH05005,PH05,122596
PH0500509,Malilipot,PH05005,PH05,41624
PH0500510,Malinao,PH05005,PH05,49621
PH0500511,Manito,PH05005,PH05,28211
PH0500512,Oas,PH05005,PH05,73097
PH0500513,Pio Duran,PH05005,PH05,49140
PH0500514,Polangui,PH05005,PH05,98829
PH0500515,Rapu-Rapu,PH05005,PH05,38714
PH0500516,Santo Domingo (Libog),PH05005,PH05,39650
PH0500517,City of Tabaco,PH05005,PH05,149538
PH0500518,Tiwi,PH05005,PH05,58162
PH0501601,Basud,PH05016,PH05,45318
PH0501602,Capalonga,PH05016,PH05,34643
PH0501603,Daet (Capital),PH05016,PH05,120333
PH0501604,San Lorenzo Ruiz (Imelda),PH05016,PH05,16716
PH0501605,Jose Panganiban,PH05016,PH05,65784
PH0501606,Labo,PH05016,PH05,116402
PH0501607,Mercedes,PH05016,PH05,55387
PH0501608,Paracale,PH05016,PH05,69608
PH0501609,San Vicente,PH05016,PH05,10937
PH0501610,Santa Elena,PH05016,PH05,42253
PH0501611,Talisay,PH05016,PH05,28884
PH0501612,Vinzons,PH05016,PH05,47059
PH0501701,Baao,PH05017,PH05,64247
PH0501702,Balatan,PH05017,PH05,34096
PH0501703,Bato,PH05017,PH05,57640
PH0501704,Bombon,PH05017,PH05,18003
PH0501705,Buhi,PH05017,PH05,81160
PH0501706,Bula,PH05017,PH05,72690
PH0501707,Cabusao,PH05017,PH05,19261
PH0501708,Calabanga,PH05017,PH05,89653
PH0501709,Camaligan,PH05017,PH05,26808
PH0501710,Canaman,PH05017,PH05,36578
PH0501711,Caramoan,PH05017,PH05,51123
PH0501712,Del Gallego,PH05017,PH05,28960
PH0501713,Gainza,PH05017,PH05,12617
PH0501714,Garchitorena,PH05017,PH05,29535
PH0501715,Goa,PH05017,PH05,70274
PH0501716,Iriga City,PH05017,PH05,119306
PH0501717,Lagonoy,PH05017,PH05,60546
PH0501718,Libmanan,PH05017,PH05,121541
PH0501719,Lupi,PH05017,PH05,34991
PH0501720,Magarao,PH05017,PH05,27565
PH0501721,Milaor,PH05017,PH05,35164
PH0501722,Minalabac,PH05017,PH05,58624
PH0501723,Nabua,PH05017,PH05,88476
PH0501724,Naga City,PH05017,PH05,229587
PH0501725,Ocampo,PH05017,PH05,49057
PH0501726,Pamplona,PH05017,PH05,38880
PH0501727,Pasacao,PH05017,PH05,53278
PH0501728,Pili (Capital),PH05017,PH05,100222
PH0501729,Presentacion (Parubcan),PH05017,PH05,22201
PH0501730,Ragay,PH05017,PH05,62564
PH0501731,Sagñay,PH05017,PH05,39507
PH0501732,San Fernando,PH05017,PH05,37876
PH0501733,San Jose,PH05017,PH05,43329
PH0501734,Sipocot,PH05017,PH05,67901
PH0501735,Siruma,PH05017,PH05,18598
PH0501736,Tigaon,PH05017,PH05,66229
PH0501737,Tinambac,PH05017,PH05,75022
PH0502001,Bagamanoc,PH05020,PH05,11979
PH0502002,Baras,PH05020,PH05,13459
PH0502003,Bato,PH05020,PH05,22912
PH0502004,Caramoran,PH05020,PH05,32721
PH0502005,Gigmoto,PH05020,PH05,8706
PH0502006,Pandan,PH05020,PH05,21822
PH0502007,Panganiban (Payo),PH05020,PH05,9593
PH0502008,San Andres (Calolbon),PH05020,PH05,38140
PH0502009,San Miguel,PH05020,PH05,16127
PH0502010,Viga,PH05020,PH05,22522
PH0502011,Virac (Capital),PH05020,PH05,84335
PH0504101,Aroroy,PH05041,PH05,101330
PH0504102,Baleno,PH05041,PH05,28253
PH0504103,Balud,PH05041,PH05,40952
PH0504104,Batuan,PH05041,PH05,16929
PH0504105,Cataingan,PH05041,PH05,51811
